問題文,解答,誤答1,誤答2,誤答3,小節,対象,カテゴリ
この曲で、まず全パートが「主旋律がどこにあるか」を把握すべきなのはなぜか。,主旋律でないパートが先行して入ったり、高音域で音量が出やすかったりする箇所が多く、何も考えずに歌うと主旋律が埋もれやすいから。,主旋律は常にソプラノにあると決まっており、他のパートは自分の音程を正確に取りさえすれば全体のバランスは自然に整うから。,主旋律を担当するパートが最も音量を落とす必要があり、他のパートがどこまで鳴らせるかを先に決めなければならないから。,主旋律の位置を覚えておけば、暗譜のときに自分の入りのタイミングを他パートから拾いやすくなるから。,全体,全パート,役割・バランス
全員で主旋律を歌ってみる練習には、どのような目的があるか。,自分のパートが主旋律にどう関わるかを理解し、音量や音色を判断しやすくするため。,全員が同じ音程を歌うことでパートごとの音程のばらつきを洗い出し、ユニゾンの精度を上げるため。,本番で自分のパートが分からなくなったときに、主旋律へ移って歌えるようにしておくため。,ソプラノ以外のパートにも高音域を経験させ、発声の可動域を広げて音色を明るくするため。,全体,全パート,役割・バランス
自分のパートに要求されることを理解するための4段階の手順を答えよ。,①主旋律を全パートが理解する ②主旋律でないところは薄めに歌う ③合いの手のような独立部分はしっかり歌う ④和音で動くところはしっかり歌う。,①歌詞の意味を全員で共有する ②主旋律を暗譜する ③各パートの音程を個別に確認する ④最後に全体で通して合わせる。,①主旋律を全パートが理解する ②主旋律以外はすべて薄めに歌う ③合いの手も控えめに添える ④和音の部分だけ全員で鳴らす。,①指揮者の指示を確認する ②自分のパートの強弱記号を守る ③他パートの音を聴く ④足りなければ音量を上げる。,全体,全パート,役割・バランス
歌っている場所の役割を4種類に分けると、何と何か。,①主旋律（基本はソプラノ） ②全パートが揃う部分 ③合いの手 ④主旋律とは独立して動くハーモニー部分。,①主旋律 ②主旋律を3度でなぞる副旋律 ③持続音（オルゲルプンクト） ④リズムだけを刻む部分。,①ソプラノの主旋律 ②アルトの内声 ③テナーの対旋律 ④ベースの低音支え、というパートごとの4区分。,①旋律 ②伴奏 ③掛け合い ④休符前後の受け渡し部分。,全体,全パート,役割・バランス
4種類の役割のうち、しっかり主張するものと、あえて薄めに歌うものを答えよ。,①主旋律・②全パートが揃う部分・③合いの手はしっかり主張し、④独立して動くハーモニーは薄めに歌う。,①主旋律だけをしっかり主張し、②全パートが揃う部分・③合いの手・④独立して動くハーモニーはいずれも薄めに歌う。,①主旋律・④独立して動くハーモニーをしっかり主張し、②全パートが揃う部分・③合いの手は薄めに歌う。,②全パートが揃う部分・③合いの手をしっかり主張し、①主旋律・④独立したハーモニーは周囲に合わせて薄めに歌う。,全体,全パート,役割・バランス
主旋律と同じ音を歌っていないパートが主旋律として歌うとき、理想の状態は何か。,「自分は主旋律だ」という自覚を持ち、音色と抑揚は主旋律と同じで、違うのは音程だけという状態。,主旋律のパートより音量をわずかに落とし、音色も少し暗くして、主旋律が浮き立つための土台に徹する状態。,音程だけでなく音色や抑揚もパートごとに変えて、それぞれの声部の個性が聴き分けられる状態。,主旋律のパートの息づかいに合わせてブレス位置を完全に統一し、音量の変化を一切つけない状態。,全体,全パート,役割・バランス
この曲全体のmfの音量・響きの基準にする箇所はどこか。,1小節目のテナーのmf。ここで褒められた音量・響きを曲全体のmfの物差しにする。,26小節終わりのベースのmf。低声が最もよく鳴る箇所なので、ここを曲全体のmfの物差しにする。,31小節「ちんもくはもりを満たす」のmf。全パートが揃う最初の箇所なので、ここを基準にする。,8小節のソプラノのmf。主旋律を持つパートの音量こそが基準になるべきなので、ここを物差しにする。,全体,全パート,音量・発声
歌詞の言葉はどのような単位で捉えるべきか。「やがてとあるひ」を例に答えよ。,一文字ずつではなく単語・フレーズのまとまりで捉える。「やがて」「とある日」のように整理して発する。,一文字ずつ均等な重みで丁寧に発音する。「や・が・て・と・あ・る・ひ」と粒を揃えて発する。,文節よりさらに大きく、一息のフレーズ全体で捉える。「やがてとあるひ」をひとまとまりとして切れ目なく発する。,母音と子音を分けて捉える。子音を先に置いてから母音を拍に合わせる形で整理して発する。,全体,全パート,発語・言葉
130小節からのテンポと、演奏で持つべき人生のイメージを答えよ。,bpm84に変更する。暗い人生ではなく、明るい人生をイメージする。,bpm84に変更する。死を前にした場面なので、暗く重い人生をイメージする。,bpm72まで落とす。テンポを緩めることで、穏やかで達観した人生をイメージする。,bpm96まで上げる。急き立てられるような慌ただしい人生をイメージする。,130小節〜,全体,テンポ・表現
31小節で「ちんもく」だけ少し遅くした後、テンポはどうするか。,その後はbpm84までしっかり戻す。,その後も遅いテンポのまま保ち、元には戻さない。,その後はbpm84を超えるまで加速し、遅らせた分を取り戻す。,その後は数小節かけて少しずつbpm84に戻す。,31小節,全体,テンポ
1小節目のテナーは、mfをどのように歌うべきか。また、この箇所が重要な理由は何か。,息を回してしっかり鳴らす。この曲全体のmfの音量基準になる重要箇所だから。,息を抑えて柔らかく始める。曲の入り口なので、聴き手を驚かせない控えめな響きが必要だから。,息を回してしっかり鳴らす。次に入るベースの5度をかき消さないよう、音量の上限を示す必要があるから。,ノンビブラートで直線的に鳴らす。この曲で唯一テナーが主旋律を持つ箇所だから。,1小節,テナー,音量・発声
2小節目のベースの5度の並行移動で求められることと、目指す響きを答えよ。,正しいピッチでしっかり鳴らし、神秘的な響きを作る。,ピッチを合わせた上で控えめに鳴らし、テナーを邪魔しない透明な響きを作る。,響きを優先して倍音を多く含ませ、ピッチは多少ぶれてもよいので厚みのある響きを作る。,5度が硬く聴こえないよう、あえてわずかに低めに取って柔らかい響きを作る。,2小節,ベース,音程・響き
16小節で、後から入るテナーの「なっ」はどのように入るか。,食いつきを早くする。,食いつきを遅らせる。,拍の真上で正確に入る。,母音から柔らかく入る。,16小節,テナー,発語・タイミング
23小節「はやしは」の一文字ごとのアクセントは、どのように歌うか。,スタッカートのように切らず、音価を保ったまま音の頭を強く出し、その上でクレッシェンドする。,スタッカート気味に一音ずつ切り、粒立ちを出したうえでクレッシェンドする。,音価を保ったまま音の頭を強く出し、その勢いのままディミネンドしていく。,音の頭は強く出さず、母音を伸ばす中で一音ずつ膨らませてクレッシェンドする。,23小節,ソプラノ・ベース,発語・音量
26小節終わりのベースのmfの「m」はどうするか。,しっかり鳴らす。,響きだけ残して抑える。,短く切って早めに離す。,母音のみで歌う。,26小節,ベース,音量・発語
「ちんもく」を歌う前提として、まず全員が理解すべきことは何か。,解釈は難しくても、「ちんもく」という言葉がこの曲で大事だと理解すること。,「ちんもく」という言葉の意味を全員で統一的に解釈し、同じ情景を思い描けるようにすること。,「ちんもく」は歌詞の中では通過点にすぎないので、深く考えず流れを止めないこと。,「ちんもく」の詩における出典と作曲者の意図を調べ、根拠を持って解釈すること。,28〜31小節,全体,表現
「もりの木がおおきくなると大きくなったのは」から「ちんもく」への響きの対比をどう作るか。,「…大きくなったのは」までは明るい響きで歌い、「ちんもく」だけに重厚感を持たせる。,「…大きくなったのは」から徐々に暗い響きに変えていき、「ちんもく」で最も暗くなるようにする。,「…大きくなったのは」を重厚に歌い、「ちんもく」だけ響きを抜いて静けさを出す。,全体を同じ響きで統一し、音量の差だけで「ちんもく」を際立たせる。,28〜31小節,全体,表現・音色
36小節のベースがmで「ド・シ・ラ」と動く部分はどう歌うか。また声部分担はどうするか。,かなり鳴らして主張する。バリトンの音はテナーが歌っているため、バリトンもローベースの音を歌う。,かなり鳴らして主張する。テナーが薄いため、バリトンはテナーの音に加勢する。,主旋律ではないので控えめに添える。バリトンの音はテナーが歌っているため、バリトンはローベースの音を歌う。,かなり鳴らして主張する。声部は楽譜どおりに保ち、バリトンはバリトンの音を歌う。,36小節,ベース,音量・声部分担
37小節アウフタクトの「もり」のテヌートで、なぜ少し溜めを作るのか。,その溜めが、その後の加速の必然性につながるため。,その溜めによって、「もり」という言葉の重みを聴き手に印象づけるため。,その溜めで各パートのブレスを揃え、次のフレーズの縦を合わせるため。,その溜めがあることで、直前のクレッシェンドを収める時間が作れるため。,37小節アウフタクト,全体,テンポ・表現
48小節以降の高声は、どのような音の運び・レガート感で歌うか。,低声よりも鳴らしながら進行し、全部にテヌートがかかっているくらいの気持ちでlegatoに歌う。,低声よりも軽く進行し、一音一音を短く切って粒立ちのよいリズム感を出す。,低声と同じ音量で進行し、テヌートは楽譜に書かれた音だけにかけ、他はノンレガートで歌う。,低声よりも鳴らしながら進行するが、言葉の頭にアクセントをつけて区切り感を出す。,48小節〜,高声,音量・レガート
48小節以降の低声は、高声と対照的にどう歌うか。また、いつから鳴らし始めるか。,軽やかに・鳴らさず、主旋律を邪魔しないリズミカルな装飾として歌う。ただしmfからは低声もしっかり鳴らし始める。,軽やかに・鳴らさず、主旋律を邪魔しないリズミカルな装飾として歌う。この姿勢は80小節まで一貫して保つ。,高声と同じようにレガートで鳴らし、厚みのある土台を作る。ただしmfからは音量を落として主旋律を立てる。,最初はしっかり鳴らして推進力を作り、mf以降は軽く抜いて高声に譲る。,48小節〜,低声,役割・バランス
56小節「もりのことばだ」をソプラノが最初からフルパワーで歌わない理由を2つ答えよ。,後半のクレッシェンドの幅を残すため。さらに、この辺りで下3声の独立した動きや言葉を聴かせるため。,後半のクレッシェンドの幅を残すため。さらに、高音域が続くので声の消耗を抑える必要があるため。,下3声の独立した動きや言葉を聴かせるため。さらに、「もりのことばだ」は主旋律ではなく合いの手だから。,この箇所の強弱記号がpであるため。さらに、後に続く60小節の男声を目立たせるため。,56小節,ソプラノ,音量・バランス
60小節の男声は、何に向かう意識を持ちながらどう歌うか。,もっと鳴らし、「ことば」のアクセンティッシモに向かっていく意識を持つ。,もっと鳴らしつつ、64小節ソプラノの「はねのおと」へ受け渡す意識を持つ。,音量を抑え、「ことば」のアクセンティッシモとの落差を作る意識を持つ。,音量は保ったまま、テンポを前へ運んで「ことば」へ向かう推進力を作る。,60小節,男声,音量・表現
81〜82小節の女声3声は、主旋律の音を歌っていない声部もどのような意識で歌うか。,全員が「自分は主旋律だ」と考え、音色と抑揚を揃え、違うのは音程だけという状態を目指す。,主旋律を持つ声部を明確にし、他の2声は音量と音色を落として和音の土台に徹する状態を目指す。,3声それぞれが独立した表情を持ち、音色と抑揚をあえて変えて立体感を出す状態を目指す。,全員が「自分は主旋律だ」と考え、音程・音色・抑揚をすべて主旋律に合わせる状態を目指す。,81〜82小節,女声,主旋律・表現
「たいき」の「た」は、どのようなイメージと表現につなげるか。,t子音を工夫して透き通った大気をイメージし、女声3声全員が全力で抑揚をつけて朝の透き通った情景を作る。,t子音を柔らかくぼかして霞んだ大気をイメージし、女声3声全員が抑揚を抑えて静かな朝の情景を作る。,t子音を工夫して透き通った大気をイメージし、主旋律の声部だけが抑揚をつけて朝の情景を作る。,母音の「あ」を深く取って広がりのある大気をイメージし、女声3声全員が音量を上げて朝の情景を作る。,81〜82小節,女声,発語・情景
81〜82小節で、男声とローベースに求められることをそれぞれ答えよ。,男声は女声を聴いた上で5度のハモりをどう歌うか考える。ローベースは82小節でもっと鳴らす。,男声は女声を聴いた上で5度のハモりをどう歌うか考える。ローベースは82小節で音量を抑え、女声を立てる。,男声は女声に頼らず自分たちの3度のハモりを優先して作る。ローベースは82小節でもっと鳴らす。,男声は女声とユニゾンになる音を探して音色を揃える。ローベースは82小節でオクターブ下を補強する。,81〜82小節,男声・ローベース,和声・音量
92小節のcon motoはどのように表現するか。,テンポをもう少し前向きにし、先へ進む動きを出してcon motoを見せる。,テンポは変えずに、音量とアクセントで動きを出してcon motoを見せる。,テンポをやや落として、一音ずつの重みで動きを出してcon motoを見せる。,テンポを前向きにしたうえで、フレーズごとに間を作り、緩急でcon motoを見せる。,92小節,男声,テンポ・表現
