問題文,解答,小節,対象,カテゴリ
この曲で、まず全パートが「主旋律がどこにあるか」を把握すべきなのはなぜか。,主旋律でないパートが先行して入ったり、高音域で音量が出やすかったりする箇所が多く、何も考えずに歌うと主旋律が埋もれやすいから。,全体,全パート,役割・バランス
全員で主旋律を歌ってみる練習には、どのような目的があるか。,自分のパートが主旋律にどう関わるかを理解し、音量や音色を判断しやすくするため。,全体,全パート,役割・バランス
自分のパートに要求されることを理解するための4段階の手順を答えよ。,①主旋律を全パートが理解する ②主旋律でないところは薄めに歌う ③合いの手のような独立部分はしっかり歌う ④和音で動くところはしっかり歌う。,全体,全パート,役割・バランス
歌っている場所の役割を4種類に分けると、何と何か。,①主旋律（基本はソプラノ） ②全パートが揃う部分 ③合いの手 ④主旋律とは独立して動くハーモニー部分。,全体,全パート,役割・バランス
4種類の役割のうち、しっかり主張するものと、あえて薄めに歌うものを答えよ。,①主旋律・②全パートが揃う部分・③合いの手はしっかり主張し、④独立して動くハーモニーは薄めに歌う。,全体,全パート,役割・バランス
主旋律と同じ音を歌っていないパートが主旋律として歌うとき、理想の状態は何か。,「自分は主旋律だ」という自覚を持ち、音色と抑揚は主旋律と同じで、違うのは音程だけという状態。,全体,全パート,役割・バランス
この曲全体のmfの音量・響きの基準にする箇所はどこか。,1小節目のテナーのmf。ここで褒められた音量・響きを曲全体のmfの物差しにする。,全体,全パート,音量・発声
歌詞の言葉はどのような単位で捉えるべきか。「やがてとあるひ」を例に答えよ。,一文字ずつではなく単語・フレーズのまとまりで捉える。「やがて」「とある日」のように整理して発する。,全体,全パート,発語・言葉
130小節からのテンポと、演奏で持つべき人生のイメージを答えよ。,bpm84に変更する。暗い人生ではなく、明るい人生をイメージする。,130小節〜,全体,テンポ・表現
31小節で「ちんもく」だけ少し遅くした後、テンポはどうするか。,その後はbpm84までしっかり戻す。,31小節,全体,テンポ
1小節目のテナーは、mfをどのように歌うべきか。また、この箇所が重要な理由は何か。,息を回してしっかり鳴らす。この曲全体のmfの音量基準になる重要箇所だから。,1小節,テナー,音量・発声
1小節目のベースの5度の平行移動で、特に意識すべきことは何か。,5度の平行移動を確実に決める。特にバリトンは「声」になりやすい音域なので、「響き」で歌うことを意識して和音をはめる。,1小節,ベース,表現
16小節で、後から入るテナーの「なっ」はどのように入るか。,食いつきを早くする。,16小節,テナー,発語・タイミング
23小節「はやしは」の一文字ごとのアクセントは、どのように歌うか。,スタッカートのように切らず、音価を保ったまま音の頭を強く出し、その上でクレッシェンドする。,23小節,ソプラノ・ベース,発語・音量
26小節終わりのベースのmfの「m」はどうするか。,しっかり鳴らす。,26小節,ベース,音量・発語
「ちんもく」を歌う前提として、まず全員が理解すべきことは何か。,解釈は難しくても、「ちんもく」という言葉がこの曲で大事だと理解すること。,28〜31小節,全体,表現
「もりの木がおおきくなると大きくなったのは」から「ちんもく」への響きの対比をどう作るか。,「…大きくなったのは」までは明るい響きで歌い、「ちんもく」だけに重厚感を持たせる。,28〜31小節,全体,表現・音色
36小節のベースがmで「ド・シ・ラ」と動く部分はどう歌うか。また声部分担はどうするか。,かなり鳴らして主張する。バリトンの音はテナーが歌っているため、バリトンもローベースの音を歌う。,36小節,ベース,音量・声部分担
37小節アウフタクトの「もり」のテヌートで、なぜ少し溜めを作るのか。,その溜めが、その後の加速の必然性につながるため。,37小節アウフタクト,全体,テンポ・表現
48小節以降の高声は、どのような音の運び・レガート感で歌うか。,低声よりも鳴らしながら進行し、全部にテヌートがかかっているくらいの気持ちでlegatoに歌う。,48小節〜,高声,音量・レガート
48小節以降の低声は、高声と対照的にどう歌うか。また、いつから鳴らし始めるか。,軽やかに・鳴らさず、主旋律を邪魔しないリズミカルな装飾として歌う。ただしmfからは低声もしっかり鳴らし始める。,48小節〜,低声,役割・バランス
56小節「もりのことばだ」をソプラノが最初からフルパワーで歌わない理由を2つ答えよ。,後半のクレッシェンドの幅を残すため。さらに、この辺りで下3声の独立した動きや言葉を聴かせるため。,56小節,ソプラノ,音量・バランス
